location_id,name,rate,review_count,city,region_jp,region_en,address,latitude,longitude,href,surrounding,attraction
36,新宿中央公園,40,447,東京都,関東地方,Kanto,"""2-11, 東京都西新宿""",35.6913457,139.69369,https://www.tripadvisor.jp/Attraction_Review-g14133673-d1594916-Reviews-Shinjuku_Chuo_Park-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,shrine
266,ホテル椿山荘東京 庭園,45,445,東京都,関東地方,Kanto,"""関口2‐10‐8, 文京区""",35.7129717,139.7254974,https://www.tripadvisor.jp/Attraction_Review-g1066442-d504483-Reviews-Hotel_Chinzanso_Tokyo_Garden-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,garden
38,河津桜 (河津町),45,440,東海地方,近畿地方,Kinki,静岡県河津町,34.7569968,138.9876072,https://www.tripadvisor.jp/Attraction_Review-g1121206-d2640245-Reviews-Kawazu_Zakura_Kawazucho-Kawazu_cho_Kamo_gun_Shizuoka_Prefecture_Tokai_Chubu.html#REVIEWS,country,water
55,葛西臨海公園,40,432,東京都,関東地方,Kanto,"""臨海町6-2-1, 東京都江戸川区""",35.6431837,139.8604888,https://www.tripadvisor.jp/Attraction_Review-g1066445-d1927946-Reviews-Kasai_Rinkai_Park-Edogawa_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,garden
65,愛宕神社,40,402,東京都,関東地方,Kanto,"""愛宕 1-5-3, 港区""",35.6650691,139.7485152,https://www.tripadvisor.jp/Attraction_Review-g1066451-d561640-Reviews-Atago_Shrine-Minato_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,shrine
114,宇治川,40,392,京都府,近畿地方,Kinki,京都府宇治市,34.8845134,135.7997037,https://www.tripadvisor.jp/Attraction_Review-g946495-d1424625-Reviews-Uji_River-Uji_Kyoto_Prefecture_Kinki.html#REVIEWS,city,water
2,花見小路通,40,390,京都府,近畿地方,Kinki,"""東山区, 京都市""",34.9923961,135.7757965,https://www.tripadvisor.jp/Attraction_Review-g298564-d1956593-Reviews-Hanamikoji_Street-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS,city,
124,千秋公園,40,388,秋田県,東北地方,Tohoku,"""千秋公園, 秋田県秋田市""",39.7216991,140.1243531,https://www.tripadvisor.jp/Attraction_Review-g298239-d1423591-Reviews-Senshu_Park-Akita_Akita_Prefecture_Tohoku.html#REVIEWS,city,castle
549,眉山,40,386,徳島県,四国地方,Shikoku,"""眉山町, 徳島県徳島市""",34.0689604,134.5395988,https://www.tripadvisor.jp/Attraction_Review-g298236-d1397375-Reviews-Mt_Bizan-Tokushima_Tokushima_Prefecture_Shikoku.html#REVIEWS,city,mountain
26,京都府立植物園,45,384,京都府,近畿地方,Kinki,"""左京区下鴨半木町, 京都市""",35.0489103,135.7645385,https://www.tripadvisor.jp/Attraction_Review-g298564-d1798946-Reviews-Kyoto_Botanical_Garden-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS,city,shrine
46,隅田川,40,383,東京都,関東地方,Kanto,東京23区,35.6803997,139.7690174,https://www.tripadvisor.jp/Attraction_Review-g298184-d555385-Reviews-Sumida_River-Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,park
11,円山公園,40,380,札幌市,北海道地方,Hokkaido,"""中央区宮ヶ丘, 札幌市""",43.0535087,141.3077944,https://www.tripadvisor.jp/Attraction_Review-g298560-d1384186-Reviews-Maruyama_Park-Sapporo_Hokkaido.html#REVIEWS,country,mountain
